Book (#volumes/books), Author, "Publisher/Collection", Cover
Divine Comedy, Dante Alighieri, "Everyman's Library", Hardcover
The Brothers Karamazov, Fyodor Dostoevsky, "Everyman's Library", Hardcover
Crime and Punishment, Fyodor Dostoevsky, "Everyman's Library", Hardcover
The Count of Monte Cristo, Alexandre Dumas, "Everyman's Library", Hardcover
"Catch-22", Joseph Heller, "Everyman's Library", Hardcover
One Hundred Years of Solitude, Gabriel García Márquez, "Everyman's Library", Hardcover
"In Search of Lost Time (1/4)", Marcel Proust, "Everyman's Library", Hardcover
The Iliad and the Odyssey, Homer, Fingerprint Deluxe Edition, Hardcover
Frankenstein, Mary Shelley, Fingerprint Deluxe Edition, Hardcover
War and Peace, Leo Tolstoy, Fingerprint Classics, Paperback
The Selfish Gene, Richard Dawkins, Oxford Landmark Science, Paperback
The Emperor's New Mind, Roger Penrose, Oxford Landmark Science, Paperback
"Guns, Germs and Steel", Jared Diamond, Vintage, Paperback
Sapiens, Yuval Noah Harari, Vintage, Paperback
Homo Deus, Yuval Noah Harari, Vintage, Paperback
The Lord of the Rings (3/3), J. R. R. Tolkien, HarperCollins, Paperback
Rurouni Kenshin (1/9), Nobuhiro Watsuki, VIZ 3-in-1 Edition, Paperback
