BFD-01,"The Brothers Karamazov","Fyodor Dostoevsky"
BFD-02,"Crime and Punishment","Fyodor Dostoevsky"
BFD-05,"Notes from a Dead House","Fyodor Dostoevsky"
BAD-01,"The Count of Monte Cristo","Alexandre Dumas"
BDA-01,"Divine Comedy","Dante Alighieri"
BJJ-02,"A Portrait of the Artist as a Young Man","James Joyce"
BJJ-03,Ulysses,"James Joyce"
BJH-01,Catch-22,"Joseph Heller"
BAC-02,"The Plague","Albert Camus"
BAC-03,"The Fall","Albert Camus"
BAC-04,"Exile and the Kingdom","Albert Camus"
BHH-01,Iliad,Homer
BHH-02,Odyssey,Homer
BMS-01,Frankenstein,"Mary Shelley"
BCD-11,"The Complete Sherlock Holmes","Arthur Conan Doyle"
